"Goldtype","Trddt","Clsprcd"
"AU100G","2009-12-28","245.00"
"AU50G","2009-12-28","246.20"
"AU9995","2009-12-28","244.52"
"AU9999","2009-12-28","244.50"
"PT9995","2009-12-28","338.50"
"AU(T+D)","2009-12-29","242.69"
"AU(T+N1)","2009-12-29","243.00"
"AU(T+N2)","2009-12-29","243.00"
"AU100G","2009-12-29","247.00"
"AU50G","2009-12-29","244.50"
"AU9995","2009-12-29","242.82"
"AU9999","2009-12-29","243.28"
"PT9995","2009-12-29","337.78"
"AU(T+D)","2009-12-30","240.60"
"AU(T+N1)","2009-12-30","241.44"
"AU(T+N2)","2009-12-30","241.44"
"AU100G","2009-12-30","243.00"
"AU9995","2009-12-30","241.59"
"AU9999","2009-12-30","241.36"
"PT9995","2009-12-30","335.63"
"AU(T+D)","2009-12-31","242.59"
"AU(T+N1)","2009-12-31","241.15"
"AU(T+N2)","2009-12-31","241.15"
"AU100G","2009-12-31","244.22"
"AU9995","2009-12-31","248.00"
"AU9999","2009-12-31","244.50"
"PT9995","2009-12-31","335.00"
"AU(T+D)","2010-01-04","242.60"
"AU(T+N1)","2010-01-04","241.70"
"AU100G","2010-01-04","245.00"
"AU9995","2010-01-04","242.93"
"AU9999","2010-01-04","243.89"
"PT9995","2010-01-04","339.70"
"AU(T+D)","2010-01-05","249.00"
"AU(T+N1)","2010-01-05","247.40"
"AU100G","2010-01-05","249.22"
"AU50G","2010-01-05","249.20"
"AU9995","2010-01-05","249.14"
"AU9999","2010-01-05","249.35"
"PT9995","2010-01-05","346.80"
"AU(T+D)","2010-01-06","246.60"
"AU(T+N1)","2010-01-06","247.30"
"AU100G","2010-01-06","248.40"
"AU9995","2010-01-06","246.63"
"AU9999","2010-01-06","246.87"
"PT9995","2010-01-06","350.00"
"AU(T+D)","2010-01-07","249.95"
"AU(T+N1)","2010-01-07","249.35"
"AU100G","2010-01-07","250.25"
"AU9995","2010-01-07","250.00"
"AU9999","2010-01-07","250.34"
"PT9995","2010-01-07","354.75"
"AU(T+D)","2010-01-08","247.64"
"AU(T+N1)","2010-01-08","247.40"
"AU100G","2010-01-08","248.64"
"AU9995","2010-01-08","247.82"
"AU9999","2010-01-08","248.08"
"PT9995","2010-01-08","351.25"
"AU(T+D)","2010-01-11","254.01"
"AU(T+N1)","2010-01-11","253.90"
"AU100G","2010-01-11","254.24"
"AU50G","2010-01-11","255.30"
"AU9995","2010-01-11","254.04"
"AU9999","2010-01-11","254.31"
"PT9995","2010-01-11","358.00"
"AU(T+D)","2010-01-12","254.70"
"AU(T+N1)","2010-01-12","253.48"
"AU100G","2010-01-12","255.12"
"AU9995","2010-01-12","254.85"
"AU9999","2010-01-12","255.16"
"PT9995","2010-01-12","367.23"
"AU(T+D)","2010-01-13","248.85"
"AU(T+N1)","2010-01-13","249.08"
"AU100G","2010-01-13","250.94"
"AU9995","2010-01-13","249.89"
"AU9999","2010-01-13","249.84"
"PT9995","2010-01-13","359.40"
"AU(T+D)","2010-01-14","251.60"
"AU(T+N1)","2010-01-14","251.60"
"AU100G","2010-01-14","251.63"
"AU9995","2010-01-14","251.98"
"AU9999","2010-01-14","252.00"
"PT9995","2010-01-14","361.25"
"AU(T+D)","2010-01-15","251.19"
"AU(T+N1)","2010-01-15","248.50"
"AU100G","2010-01-15","251.94"
"AU9995","2010-01-15","251.89"
"AU9999","2010-01-15","251.84"
"PT9995","2010-01-15","366.37"
"AU(T+D)","2010-01-18","250.95"
"AU(T+N1)","2010-01-18","250.70"
"AU100G","2010-01-18","252.47"
"AU9995","2010-01-18","251.60"
"AU9999","2010-01-18","251.58"
"PT9995","2010-01-18","369.22"
"AU(T+D)","2010-01-19","251.99"
"AU(T+N1)","2010-01-19","251.40"
"AU(T+N2)","2010-01-19","251.50"
"AU100G","2010-01-19","252.62"
"AU9995","2010-01-19","252.25"
"AU9999","2010-01-19","252.35"
"PT9995","2010-01-19","373.00"
"AU(T+D)","2010-01-20","250.70"
"AU(T+N1)","2010-01-20","250.90"
"AU100G","2010-01-20","251.61"
"AU9995","2010-01-20","250.88"
"AU9999","2010-01-20","251.00"
"PT9995","2010-01-20","374.93"
"AU(T+D)","2010-01-21","246.91"
"AU(T+N1)","2010-01-21","247.28"
"AU100G","2010-01-21","250.28"
"AU9995","2010-01-21","247.50"
"AU9999","2010-01-21","247.50"
"PT9995","2010-01-21","371.00"
"AU(T+D)","2010-01-22","243.37"
"AU(T+N1)","2010-01-22","242.90"
"AU100G","2010-01-22","245.52"
"AU9995","2010-01-22","244.25"
"AU9999","2010-01-22","244.27"
"PT9995","2010-01-22","357.01"
"AU(T+D)","2010-01-25","244.00"
"AU100G","2010-01-25","247.14"
"AU9995","2010-01-25","244.74"
"AU9999","2010-01-25","244.80"
"PT9995","2010-01-25","356.12"
"AU(T+D)","2010-01-26","242.70"
"AU100G","2010-01-26","245.00"
"AU50G","2010-01-26","244.00"
"AU9995","2010-01-26","243.97"
"AU9999","2010-01-26","243.84"
"PT9995","2010-01-26","348.79"
"AU(T+D)","2010-01-27","241.88"
"AU(T+N1)","2010-01-27","243.38"
"AU100G","2010-01-27","243.91"
"AU9995","2010-01-27","243.07"
"AU9999","2010-01-27","242.91"
"PT9995","2010-01-27","346.00"
"AU(T+D)","2010-01-28","239.83"
"AU(T+N1)","2010-01-28","239.70"
"AU100G","2010-01-28","241.95"
"AU9995","2010-01-28","240.97"
"AU9999","2010-01-28","241.00"
"PT9995","2010-01-28","345.08"
"AU(T+D)","2010-01-29","238.63"
"AU(T+N1)","2010-01-29","239.19"
"AU100G","2010-01-29","241.07"
"AU50G","2010-01-29","240.00"
